query,source,title,url,snippet,year,authors,repo_url,score,multiplicative_index,artisanal_fisheries,lng_gas_infra,h3_hexagonal,social_vulnerability,interactive_output,open_access
"""spatial risk index"" ""small-scale fisheries"" LNG",scholar,2017 Mediterranean Quality Status Report,https://www.medqsr.org/sites/default/files/inline-files/2017MedQSR_Online_0.pdf,"... small scale fisheries fleets are concentrated in the Aegean Sea, Gulf of ... spatial risk index, which combines variables (multiple data layers) ...",2017,,,3,False,True,True,False,False,False,True
"""vulnerability assessment"" ""artisanal fisheries"" ""gas pipeline""",scholar,Review of the Embassy Development Assistance Portfolio: Mozambique,https://www.norad.no/contentassets/9ce6361daeed43efa13cc33c449edc96/mosambik-cc-env---final-031108.pdf,vulnerability assessment of climate change im- ... (Artisanal) Fisheries (IDPPE) ... ing is occurring from the central processing facility for the gas pipeline.,,,,3,False,True,True,False,True,False,True
"""vulnerability assessment"" ""artisanal fisheries"" ""gas pipeline""",scholar,Environmental Impact Assessment - Gas to Energy Project,https://img.exim.gov/s3fs-public/external/GTE%20EIA%20Volume%202%20Appendices%20Nov%202022.pdf,... gas pipeline in Angola and for three separate ... artisanal fisheries in Guyana (Funded by WWF ... vulnerability assessment of the agriculture sector ...,2022,,,3,False,True,True,False,True,False,True
"""spatial risk"" fisheries ""gas infrastructure""",scholar,Spatial Risk Assessment for the Proposed East African Crude Oil Pipeline,https://www.scirp.org/journal/paperinformation?paperid=137178,"... spatial risk assessment model for enhancing the security and safety of ... gas infrastructure. This therefore, calls for a concerted effort between the ...",,,,2,False,False,True,False,False,False,True
"""spatial risk"" fisheries ""gas infrastructure""",scholar,optimising environment and fishing interests (UKRI project NE/P016537/1),https://gtr.ukri.org/projects?ref=NE%2FP016537%2F1,2. Developing spatial 'risk-layers' that can be ... gas infrastructure by fishing gear. In order to ... Commercial fisheries losses arising from ...,,,,3,False,True,True,False,False,False,True
"""risk index"" ""small-scale fisheries"" infrastructure",scholar,Fisheries@Risk - Vulnerability of Fisheries to Climate Change (TNC),https://www.nature.org/content/dam/tnc/nature/en/documents/Fisheries-at-Risk-Technical-Report.pdf,"The Fisheries@Risk Index identifies national risks to fish, fishers and fisheries by combining data on exposure to climate change and coastal hazards and ...",2020,B.E. Hilft,,3,False,True,False,False,True,False,True
"""artisanal fisheries"" ""LNG"" vulnerability spatial assessment",scholar,Addressing Project Impacts on Fishing-based Livelihoods (IFC),https://ifcsia.org/wp-content/uploads/pdf/publications/P_IFC-SCI_FisheriesReport2015_R2-LoRes.pdf,a more thorough assessment of fisheries activities proximate to the proposed LNG site and recognized that ... of artisanal fisheries increases vulnerability to ...,2015,IFC,,4,False,True,True,False,True,False,True
"""artisanal fisheries"" ""LNG"" vulnerability spatial assessment",scholar,EXIM Mozambique LNG - Environmental Impact Assessment,https://www.fisheries.noaa.gov/s3//dam-migration/opr-2019-03473-508.pdf,Mozambique has commercial (industrial and semi-industrial) and artisanal fisheries with ... facilities to receive more LNG vessels and the addition of LNG trains ...,2019,NOAA/EXIM,,3,False,True,True,False,False,False,True
"""artisanal fisheries"" ""LNG"" vulnerability spatial assessment",scholar,Characterization of an artisanal fishery in Argentina using the social-ecological system approach,https://thecommonsjournal.org/articles/10.18352/ijc.534,... artisanal fisheries to determine their own operational access to the sea ... LNG plant project) and became extremely relevant for ...,2017,S. London,,3,False,True,True,False,True,False,True
"site:fao.org ""spatial risk"" fisheries",web,Spatial risk assessment of threats to Hector's/Māui dolphins (SEFRA approach),https://www.fao.org/fishery/openasfa/a762df24-8e04-43b5-8c7e-84507134a1e4/ar,"A Bayesian spatial risk model was developed using the spatially-explicit fisheries risk assessment (SEFRA) approach. Under this approach, encounters between ...",,FAO,,2,False,False,False,False,False,False,True
"site:worldbank.org ""fishing communities"" risk index",web,Climate Change and Marine Fisheries in Africa - Assessing Vulnerability,https://documents1.worldbank.org/curated/en/280891580715878729/pdf/Climate-Change-and-Marine-Fisheries-in-Africa-Assessing-Vulnerability-and-Strengthening-Adaptation-Capacity.pdf,"All along the African coast, fishing communities report changes in fishing pattern and species caught. In 2013, the World Bank surveyed 463 fishermen in ...",2013,World Bank,,2,False,True,False,False,True,False,True
"ICES ASC ""fishing communities"" risk",web,Theme Session K – Small-Scale fisheries under global change threats and opportunities,https://ices-library.figshare.com/articles/conference_contribution/Theme_Session_K_Small-Scale_fisheries_under_global_change_threats_and_opportunities/24306016,"... fishing communities; CM 393: Small-scale fishery mobilities across ... ICES Annual Science Conference 2023, Bilbao, Spain. Session. Theme ...",2023,ICES,,1,False,True,False,False,False,False,True
